,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
15-Mar,Will.I.Am- 1975,Andrew Jackson- 1767,Eva Longoria- 1975,Paul Pogba- 1993,Julius Caesar- 44BC,David Brenner- 2014,1744 - French King Louis XV declares war on England,1820 - Maine becomes 23rd state
16-Mar,Jerome Flynn- 1963,Aisling Bea- 1984,Theo Walcott- 1989,George Ford- 1993,Frank Sinatra Jr- 2016,James Cotton- 2017,1872 - First FA Cup final,1976 - Prime Minister Harold Wilson resigns
17-Mar,John Boyega- 1992,Ruth Langsford- 1950,Nat King Cole- 1919,Alexander McQueen- 1969,Paul Daniels- 2016,Helen Hayes- 1993,1973 - New London Bridge is opened,2017 - Live action Beauty and the Beast opens in cinemas
18-Mar,Adam Levine- 1979,Neville Chamberlain- 1869,Lily Collins- 1989,Grover Cleveland- 1837,Chuck Berry- 2017,Natasha Richardson- 2009,1995 - Michael Jordan comes out of retirement ,2011 - Messenger spacecraft enters mercury's orbit
19-Mar,Bruce Willis- 1955,Harvey Weinstein- 1952,Glenn Close- 1947,Maddy Hill- 1990,Mohammed Ali- 2006,Randy Rhoades- 1982,1931 - Nevada legalises gambling,2016 - Batman v Superman premieres in Mexico City
20-Mar,Emma Willis- 1976,Chester Bennington- 1976,David Thewlis- 1963,Vera Lynn- 1917,Lev Yeshin- 1990,Queen Juliana of Holland- 2004,1930 - KFC is founded by Colonel Sanders,1944 - Mount Vesuvius erupts
21-Mar,Gary Oldman- 1958,Timothy Dalton- 1944,Ayrton Senna- 1960,Matthew Broderick- 1962,Martin McGuinness- 2017,Peter Brown- 2016,1935 - Persia is renamed Iran,1963 - Alcatraz prison is closed
22-Mar,Reese Witherspoon- 1976,William Shatner- 1931,Andrew Lloyd Webber- 1948,Gaz Beadle- 1988,Jade Goody- 2009,Rob Ford- 2016,1790 - Thomas Jefferson becomes first secretary of state,1963 - The Beatles release their first album- Please Please Me
23-Mar,Russell Howard- 1980,Mo Farah- 1983,Damon Albarn- 1968,Keri Russell- 1976,Lil Chris- 2015,Ken Howard- 2016,1933 - Hitler is granted dictatorial powers,1956 - Sudan becomes independent from Britain
24-Mar,Mary Berry- 1935,Harry Houdini- 1874,Alan Sugar- 1947,Finn Jones- 1988,Elizabeth I- 1603,Johan Cryuff- 2016,1603 - Scottish King James VI become James 1 of England,1837 - Canada gives black citizens the right to vote
25-Mar,Elton John- 1947,Lee Pace- 1979,Patrick Troughton- 1920,Wladimir Klitchsko- 1976,Claude Debussy- 1918,Buck Owens- 2006,1199 - Richard I is wounded by crossbow bolt ,1306 - Robert the Bruce becomes king of scotland
26-Mar,Keira Knightley- 1985,Leonard Nimoy- 1931,Matin Short- 1950,Steve Tyler- 1948,Beethoven- 1827,Cecil Rhodes- 1902,1992 - Mike Tyson sentenced to 10 years in prison,2005 - Doctor Who returns to television
27-Mar,Quentin Tarantino- 1963,Nathan Fillion- 1971,Mariah Carey- 1970,Jessie J- 1988,Yuri Gagarin- 1968,Warren Stevens- 2012,1995 - Back for Good by Take That becomes #1 in 31 countries,1984 - Starlight Express musical premieres
